"CertificateOfOrigin","EUCitizen","Perishable","Fragile","Volume","PreDeclared","MultiplePackage","Category","OnlineDeclaration","ExporterValidation","SecuredDelivery","LithiumBatteries","ExpressDelivery","EntryPoint","Origin","PaperlessBilling","PaymentMethod","Weight","Price","Inspection","packageID"
"No",0,"Yes","No",2,"No",NA,"Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",29.85,29.85,"No","7590-VHVEG"
"Yes",0,"No","No",35,"Yes","No","Clothing","Yes","No","Yes","No","No","Antwerp","US","No","Mailed check",56.95,1889.5,"No","5575-GNVDE"
"Yes",0,"No","No",3,"Yes","No","Clothing","Yes","Yes","No","No","No","Antwerp","China","Yes","Mailed check",53.85,108.15,"Yes","3668-QPYBK"
"Yes",0,"No","No",46,"No",NA,"Clothing","Yes","No","Yes","Yes","No","Antwerp","US","No","Bank transfer (automatic)",42.3,1840.75,"No","7795-CFOCW"
"No",0,"No","No",3,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",70.7,151.65,"Yes","9237-HQITU"
"No",0,"No","No",9,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",99.65,820.5,"Yes","9305-CDSKC"
"Yes",0,"No","Yes",23,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Antwerp","China","Yes","Credit card (automatic)",89.1,1949.4,"No","1452-KIOVK"
"No",0,"No","No",11,"No",NA,"Clothing","Yes","No","No","No","No","Antwerp","China","No","Mailed check",29.75,301.9,"No","6713-OKOMC"
"No",0,"Yes","No",29,"Yes","Yes","Electronics","No","No","Yes","Yes","Yes","Brussels","China","Yes","Electronic check",104.8,3046.05,"Yes","7892-POOKP"
"Yes",0,"No","Yes",63,"Yes","No","Clothing","Yes","Yes","No","No","No","Antwerp","US","No","Bank transfer (automatic)",56.15,3487.95,"No","6388-TABGU"
"Yes",0,"Yes","Yes",14,"Yes","No","Clothing","Yes","No","No","No","No","Antwerp","China","Yes","Mailed check",49.95,587.45,"No","9763-GRSKD"
"Yes",0,"No","No",17,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",18.95,326.8,"No","7469-LKBCI"
"Yes",0,"Yes","No",59,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","US","No","Credit card (automatic)",100.35,5681.1,"No","8091-TTVAX"
"Yes",0,"No","No",50,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",103.7,5036.3,"Yes","0280-XJGEX"
"Yes",0,"No","No",26,"Yes","No","Electronics","Yes","No","Yes","Yes","Yes","Brussels","China","Yes","Electronic check",105.5,2686.05,"No","5129-JLPIS"
"No",0,"Yes","Yes",70,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Credit card (automatic)",113.25,7895.15,"No","3655-SNQYZ"
"No",0,"No","No",53,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",20.65,1022.95,"No","8191-XWSZG"
